step,loss
1,2.2698538303375244
2,2.0741045475006104
3,1.9746297597885132
4,1.9232064485549927
5,1.7266312837600708
6,1.624097466468811
7,1.5543334484100342
8,1.4475291967391968
9,1.196800708770752
10,1.1789768934249878
11,1.1888999938964844
12,0.881538987159729
13,0.9553440809249878
14,0.7863734364509583
15,0.9553989768028259
16,0.7845775485038757
17,0.6324415802955627
18,0.7104457020759583
19,0.7027307748794556
20,0.629267156124115
21,0.8925056457519531
22,0.9054002165794373
23,0.7490860819816589
24,1.3327326774597168
25,0.64066481590271
26,0.6898696422576904
27,0.6828200221061707
28,0.6393575072288513
29,0.632631778717041
30,0.6852701902389526
31,0.4807448387145996
32,0.48123636841773987
33,0.7297643423080444
34,0.7941418886184692
35,0.5444996953010559
36,0.6543851494789124
37,0.7379651665687561
38,0.6930930614471436
39,0.8318009376525879
40,0.5128427743911743
41,0.529177725315094
42,0.6369977593421936
43,0.5005747079849243
44,0.8742517828941345
45,0.4787500500679016
46,0.35904461145401
47,0.6420549154281616
48,0.4278848171234131
49,0.43576809763908386
50,0.5845193266868591
51,0.451600581407547
52,0.47126689553260803
53,0.43339648842811584
54,0.5790541172027588
55,0.5831709504127502
56,0.3954567313194275
57,0.31853827834129333
58,0.4115239977836609
59,0.3966163098812103
60,0.2728961408138275
61,0.4394098222255707
62,0.45819786190986633
63,0.42844048142433167
64,0.4230436384677887
65,0.4872586727142334
66,0.31496673822402954
67,0.4137572944164276
68,0.37170514464378357
69,0.4383469223976135
70,0.3983769118785858
71,0.42649129033088684
72,0.39981013536453247
73,0.4441448152065277
74,0.41081738471984863
75,0.27556848526000977
76,0.32514917850494385
77,0.3991175889968872
78,0.5101111531257629
79,0.3982306122779846
80,0.43725451827049255
81,0.3455549478530884
82,0.386380672454834
83,0.3405841886997223
84,0.369598388671875
85,0.21709367632865906
86,0.24530784785747528
87,0.32242611050605774
88,0.31031543016433716
89,0.4421641230583191
90,0.2310720831155777
91,0.27008599042892456
92,0.25193116068840027
93,0.3809557259082794
94,0.22336478531360626
95,0.3072403371334076
96,0.33881428837776184
97,0.25302669405937195
98,0.3875494599342346
99,0.2812793552875519
100,0.2989383637905121
101,0.20568610727787018
102,0.3046145439147949
103,0.21062055230140686
104,0.2549133002758026
105,0.2800650894641876
106,0.24679429829120636
107,0.2942957282066345
108,0.3047221601009369
109,0.21052566170692444
110,0.16212721168994904
111,0.1354573369026184
112,0.17955458164215088
113,0.1482817530632019
114,0.29202800989151
115,0.29913774132728577
116,0.31831976771354675
117,0.254863440990448
118,0.3215787410736084
119,0.42675599455833435
120,0.12619774043560028
121,0.26549336314201355
122,0.18224047124385834
123,0.16223782300949097
124,0.3299557566642761
125,0.3034294843673706
126,0.13863323628902435
127,0.27777451276779175
128,0.16901430487632751
129,0.20210380852222443
130,0.24324455857276917
131,0.19641035795211792
132,0.2766672968864441
133,0.24252557754516602
134,0.17187780141830444
135,0.22796735167503357
136,0.1517922580242157
137,0.17722295224666595
138,0.21429531276226044
139,0.19496260583400726
140,0.282621830701828
141,0.18037457764148712
