step,loss
1,0.9525027871131897
2,0.7502194046974182
3,0.7482011914253235
4,0.7078187465667725
5,0.8611361384391785
6,0.7702659964561462
7,0.9863017201423645
8,0.8469131588935852
9,0.7299625277519226
10,0.6510737538337708
11,0.6829214096069336
12,0.8476608395576477
13,0.6866885423660278
14,0.5640258193016052
15,0.7400188446044922
16,0.8049107193946838
17,0.7333636283874512
18,0.6901130676269531
19,0.6633891463279724
20,0.7095855474472046
21,0.6858320832252502
22,0.6998523473739624
23,0.6310110092163086
24,0.6660115718841553
25,0.6863730549812317
26,0.668631374835968
27,0.6892655491828918
28,0.6724793314933777
29,0.6067858934402466
30,0.6689218878746033
31,0.7272453308105469
32,0.6571545600891113
33,0.6298368573188782
34,0.67003333568573
35,0.680830717086792
36,0.6008653044700623
37,0.6429661512374878
38,0.6267322301864624
39,0.6400766968727112
40,0.7478805184364319
41,0.5686171650886536
42,0.6778613328933716
43,0.6032580137252808
44,0.6139640212059021
45,0.6246286034584045
46,0.6297074556350708
47,0.5580024123191833
48,0.6526798009872437
49,0.5684494376182556
50,0.6793186068534851
51,0.7619025707244873
52,0.6639493107795715
53,0.6273446083068848
54,0.6185480356216431
55,0.6274341344833374
56,0.6709790825843811
57,0.7018764019012451
58,0.5407869219779968
59,0.6524394750595093
60,0.5610342025756836
61,0.6374498009681702
62,0.6395288705825806
63,0.7143218517303467
64,0.6441205739974976
65,0.608417272567749
66,0.6465213298797607
67,0.5959377288818359
68,0.6183838844299316
69,0.6215440034866333
70,0.6115634441375732
71,0.523029088973999
72,0.5526843667030334
73,0.6226143836975098
74,0.603413999080658
75,0.5694096088409424
76,0.5964605808258057
77,0.5896160006523132
78,0.6365513801574707
79,0.6529192328453064
80,0.5928097367286682
81,0.5236639380455017
82,0.6507568359375
83,0.5405541062355042
84,0.5679250359535217
85,0.6085925102233887
86,0.6243601441383362
87,0.5788172483444214
88,0.5666195154190063
89,0.6254805326461792
90,0.5810511708259583
91,0.5890716314315796
92,0.6137446761131287
93,0.6327133774757385
94,0.6045814752578735
95,0.5737475752830505
96,0.5350990891456604
97,0.5113365054130554
98,0.6285405158996582
99,0.5551663637161255
100,0.5641316175460815
101,0.582542896270752
102,0.5281835794448853
103,0.5428054928779602
104,0.6043751835823059
105,0.5562917590141296
106,0.5192263722419739
107,0.5650510787963867
108,0.5195490121841431
109,0.6743965148925781
110,0.5842192769050598
111,0.4962523579597473
112,0.6049004197120667
113,0.5705344676971436
114,0.6126770377159119
115,0.61082923412323
116,0.5581858158111572
117,0.5331878662109375
118,0.5495451092720032
119,0.5429429411888123
120,0.5228588581085205
121,0.48945796489715576
122,0.5737314224243164
123,0.5109577178955078
124,0.6281824111938477
125,0.6275496482849121
126,0.5777154564857483
127,0.5477765202522278
128,0.5161528587341309
129,0.510272204875946
130,0.4870188534259796
131,0.5534864664077759
132,0.546400785446167
133,0.6397666335105896
134,0.5972939729690552
135,0.5210808515548706
136,0.551638662815094
137,0.5240442752838135
138,0.576150119304657
139,0.5379487872123718
140,0.5850411057472229
141,0.5447563529014587
142,0.5044512748718262
143,0.5302943587303162
144,0.513037919998169
145,0.5520976185798645
146,0.47174787521362305
147,0.6149474382400513
148,0.6675076484680176
149,0.5266067385673523
150,0.5719698071479797
151,0.5558069944381714
