step,loss
50,2.586853265762329
100,2.4051740169525146
150,2.376887083053589
200,2.412536144256592
250,2.3256478309631348
300,2.332120656967163
350,2.3183329105377197
400,2.2986793518066406
450,2.299905776977539
500,2.2535271644592285
550,2.2082505226135254
600,2.173220157623291
650,2.180229902267456
700,2.085761070251465
750,2.0220541954040527
800,1.9679738283157349
850,2.0360453128814697
900,1.9452002048492432
950,1.927186369895935
1000,1.8796988725662231
1050,1.9680620431900024
1100,1.9218283891677856
1150,1.8680119514465332
1200,1.8611783981323242
1250,1.8529528379440308
1300,1.871661901473999
1350,1.8601963520050049
1400,1.8208752870559692
1450,1.816950798034668
1500,1.7741092443466187
1550,1.829357385635376
1600,1.7598108053207397
1650,1.7406032085418701
1700,1.6791983842849731
1750,1.7273625135421753
1800,1.7487103939056396
1850,1.6710858345031738
1900,1.637099027633667
1950,1.6520235538482666
2000,1.66802978515625
2050,1.6222440004348755
2100,1.5894986391067505
2150,1.5585097074508667
2200,1.6039072275161743
2250,1.5851845741271973
2300,1.5695565938949585
2350,1.581592082977295
2400,1.5782115459442139
2450,1.5729060173034668
2500,1.4975056648254395
2550,1.5933674573898315
2600,1.5935770273208618
2650,1.4631391763687134
2700,1.5108400583267212
2750,1.4370275735855103
2800,1.3526743650436401
2850,1.3977584838867188
2900,1.420577883720398
2950,1.3287532329559326
3000,1.4575934410095215
3050,1.358302116394043
3100,1.3846099376678467
3150,1.2894580364227295
3200,1.3144009113311768
3250,1.2462407350540161
3300,1.2915098667144775
3350,1.2503241300582886
3400,1.3381422758102417
3450,1.2051794528961182
3500,1.2040376663208008
3550,1.265106439590454
3600,1.319818139076233
3650,1.2570933103561401
3700,1.153829574584961
3750,1.1126916408538818
3800,1.1380661725997925
3850,1.1851601600646973
3900,1.1144208908081055
3950,1.1083704233169556
4000,1.0298283100128174
4050,1.0664151906967163
4100,1.037874698638916
4150,1.0872423648834229
4200,1.1330525875091553
4250,1.032313585281372
4300,1.1395423412322998
4350,1.0115567445755005
4400,0.9602277874946594
4450,0.9993439316749573
4500,0.942099392414093
4550,0.9846239686012268
4600,1.055649995803833
4650,1.0842963457107544
4700,1.1073460578918457
4750,1.0146645307540894
4800,0.9649107456207275
4850,0.9644525647163391
4900,1.007447361946106
4950,0.9355480670928955
5000,0.9839127063751221
5050,0.9745117425918579
5100,1.006813883781433
5150,0.9411733150482178
5200,0.9177214503288269
5250,0.949114203453064
5300,0.8868485689163208
5350,1.0433439016342163
5400,0.8726891875267029
5450,0.8701006770133972
5500,0.8178698420524597
5550,0.9119312763214111
5600,0.9000194072723389
5650,0.8478243947029114
5700,0.8372052907943726
5750,0.9520405530929565
5800,0.8699974417686462
5850,0.8789466619491577
5900,0.8452287912368774
5950,0.8829019069671631
6000,0.7893874645233154
6050,0.8225496411323547
6100,0.8142901062965393
6150,0.7652077078819275
6200,0.8486130237579346
6250,0.8347123265266418
6300,0.9651118516921997
6350,0.836965799331665
6400,0.8498861193656921
6450,0.891128659248352
6500,0.7882096767425537
6550,0.8605717420578003
6600,0.8535300493240356
6650,0.8768161535263062
6700,0.7824339866638184
6750,0.8619823455810547
6800,0.8260302543640137
6850,0.8009417653083801
6900,0.7590060830116272
6950,0.7757275700569153
7000,0.8304705619812012
7050,0.8476144671440125
7100,0.8144114017486572
7150,0.7609692215919495
7200,0.8012462258338928
7250,0.7421374917030334
7300,0.8079491853713989
7350,0.7995713353157043
7400,0.833702027797699
7450,0.832597553730011
7500,0.844409167766571
7550,0.6759435534477234
7600,0.7488689422607422
7650,0.7493270039558411
7700,0.7981016039848328
7750,0.6828577518463135
7800,0.714363157749176
7850,0.6869509816169739
7900,0.7711940407752991
7950,0.6825226545333862
8000,0.843017578125
8050,0.7645747065544128
8100,0.8177282810211182
8150,0.742056131362915
8200,0.7982418537139893
8250,0.6989518404006958
8300,0.7311834096908569
8350,0.6718387603759766
8400,0.6941769123077393
8450,0.6334533095359802
8500,0.7017974853515625
8550,0.6909367442131042
8600,0.7711898684501648
8650,0.7152920961380005
8700,0.7995815873146057
8750,0.7286511659622192
8800,0.764786958694458
8850,0.7473732829093933
8900,0.682856559753418
8950,0.689693808555603
9000,0.6780345439910889
9050,0.6524083018302917
9100,0.6872665286064148
9150,0.7451207637786865
9200,0.7000821232795715
9250,0.7092433571815491
9300,0.649794340133667
9350,0.6412065625190735
9400,0.7286325693130493
9450,0.6618929505348206
9500,0.7078989744186401
9550,0.6479387283325195
9600,0.6483392715454102
9650,0.6520397663116455
9700,0.7369486093521118
9750,0.7345788478851318
9800,0.7363871335983276
9850,0.5764620304107666
9900,0.6232173442840576
9950,0.687416136264801
