config,seed,layer,relative_residual,mean_cosine
pure_SAN,0,0,0.9840077757835388,-0.0028339100535959005
pure_SAN,0,1,0.3309633433818817,0.9225949645042419
pure_SAN,0,2,0.0063693528063595295,0.9999830722808838
pure_SAN,0,3,2.235940428363392e-07,1.0
pure_SAN,0,4,1.594444967167874e-07,1.0
pure_SAN,0,5,1.2279247130209114e-07,1.0
pure_SAN,0,6,1.36063704303524e-07,1.0
pure_SAN,0,7,1.8041710347915796e-07,1.0
pure_SAN,0,8,1.4867777053950704e-07,1.0
pure_SAN,0,9,1.342143036708876e-07,1.0
pure_SAN,0,10,1.5643571771306597e-07,1.0
pure_SAN,0,11,1.9252736649377766e-07,1.0
pure_SAN,0,12,1.6679179282164114e-07,1.0
pure_SAN,0,13,1.5332830116676632e-07,1.0
pure_SAN,0,14,1.6554263027046545e-07,1.0
pure_SAN,0,15,1.6086507059753785e-07,1.0
pure_SAN,0,16,1.603462038701764e-07,1.0
pure_SAN,0,17,1.5785275309099234e-07,1.0
pure_SAN,0,18,1.7024255782871478e-07,1.0
pure_SAN,0,19,1.3883413885196205e-07,1.0
pure_SAN,0,20,1.473246982186538e-07,1.0
pure_SAN,0,21,1.7218204106939083e-07,1.0
pure_SAN,0,22,1.649453480467855e-07,1.0
pure_SAN,0,23,1.48956502243891e-07,1.0
pure_SAN,0,24,1.4381940616203792e-07,1.0
pure_SAN,1,0,0.9635566473007202,-0.002218075329437852
pure_SAN,1,1,0.3144981861114502,0.9250807166099548
pure_SAN,1,2,0.004524390213191509,0.9999873042106628
pure_SAN,1,3,2.0181029469767964e-07,1.0
pure_SAN,1,4,1.6983217676624918e-07,1.0
pure_SAN,1,5,1.4127236624972284e-07,1.0
pure_SAN,1,6,1.3880850247005583e-07,1.0
pure_SAN,1,7,1.394221698092224e-07,1.0
pure_SAN,1,8,1.4495024913685484e-07,1.0
pure_SAN,1,9,1.502139923559298e-07,1.0
pure_SAN,1,10,1.7499579030300083e-07,1.0
pure_SAN,1,11,1.505860467432285e-07,1.0
pure_SAN,1,12,1.2510075464433612e-07,1.0
pure_SAN,1,13,1.5013532106422645e-07,1.0
pure_SAN,1,14,1.692887110493757e-07,1.0
pure_SAN,1,15,1.64709007322017e-07,1.0
pure_SAN,1,16,1.3308755342222867e-07,1.0
pure_SAN,1,17,1.4661830505247053e-07,1.0
pure_SAN,1,18,1.540179681569498e-07,1.0
pure_SAN,1,19,1.6107901501527522e-07,1.0
pure_SAN,1,20,1.7683774444776645e-07,1.0
pure_SAN,1,21,1.4520315971822129e-07,1.0
pure_SAN,1,22,1.4500542988571397e-07,1.0
pure_SAN,1,23,1.4773391399103275e-07,1.0
pure_SAN,1,24,1.7155761611320486e-07,1.0
pure_SAN,2,0,0.9333580732345581,0.002985106548294425
pure_SAN,2,1,0.30353087186813354,0.9387316107749939
pure_SAN,2,2,0.0036834238562732935,0.9999949336051941
pure_SAN,2,3,2.0280326396004966e-07,1.0
pure_SAN,2,4,1.6223742704823962e-07,1.0
pure_SAN,2,5,1.439618557697031e-07,1.0
pure_SAN,2,6,1.4203163800630136e-07,1.0
pure_SAN,2,7,1.5736806346922094e-07,1.0
pure_SAN,2,8,1.4439103779295692e-07,1.0
pure_SAN,2,9,1.5190016711130738e-07,1.0
pure_SAN,2,10,1.70593779103001e-07,1.0
pure_SAN,2,11,1.707450394405896e-07,1.0
pure_SAN,2,12,1.4647145007984363e-07,1.0
pure_SAN,2,13,1.7574120647623204e-07,1.0
pure_SAN,2,14,1.5986388746114244e-07,1.0
pure_SAN,2,15,1.5932897667880752e-07,1.0
pure_SAN,2,16,1.6320387885571108e-07,1.0
pure_SAN,2,17,1.4375459045368189e-07,1.0
pure_SAN,2,18,1.5923160390229896e-07,1.0
pure_SAN,2,19,1.7767477800134657e-07,1.0
pure_SAN,2,20,1.5819146881312918e-07,1.0
pure_SAN,2,21,1.5172381040429173e-07,1.0
pure_SAN,2,22,1.4719586260980577e-07,1.0
pure_SAN,2,23,1.9311386267872876e-07,1.0
pure_SAN,2,24,1.4669961956315092e-07,1.0
residual,0,0,0.9840077757835388,-0.0028339100535959005
residual,0,1,0.9879275560379028,0.012877062894403934
residual,0,2,0.9662854075431824,0.023636631667613983
residual,0,3,0.9585975408554077,0.04463820531964302
residual,0,4,0.9409154653549194,0.06162779778242111
residual,0,5,0.9411901235580444,0.07460223138332367
residual,0,6,0.9176122546195984,0.0987086296081543
residual,0,7,0.9007214903831482,0.12382732331752777
residual,0,8,0.8869034647941589,0.15566584467887878
residual,0,9,0.8977980613708496,0.1730889081954956
residual,0,10,0.8796738386154175,0.1997106522321701
residual,0,11,0.8584683537483215,0.21550463140010834
residual,0,12,0.8273729681968689,0.23323296010494232
residual,0,13,0.8226693868637085,0.2593769431114197
residual,0,14,0.8224154710769653,0.28031742572784424
residual,0,15,0.7975661158561707,0.3045617938041687
residual,0,16,0.777438759803772,0.3244667053222656
residual,0,17,0.7707524299621582,0.34228694438934326
residual,0,18,0.775539755821228,0.35463184118270874
residual,0,19,0.7536143660545349,0.3772347867488861
residual,0,20,0.7294345498085022,0.4042525291442871
residual,0,21,0.7177430987358093,0.41201820969581604
residual,0,22,0.7062562108039856,0.43211454153060913
residual,0,23,0.7048318982124329,0.45056653022766113
residual,0,24,0.6739343404769897,0.46374982595443726
residual,1,0,0.9635566473007202,-0.002218075329437852
residual,1,1,0.9544644951820374,0.018098874017596245
residual,1,2,0.9619295001029968,0.02832392044365406
residual,1,3,0.9625461101531982,0.04110081121325493
residual,1,4,0.9694400429725647,0.06515640765428543
residual,1,5,0.9487617015838623,0.08205794543027878
residual,1,6,0.906229555606842,0.10611982643604279
residual,1,7,0.8897413015365601,0.13317805528640747
residual,1,8,0.8612393140792847,0.14972379803657532
residual,1,9,0.8372867107391357,0.17975330352783203
residual,1,10,0.839140772819519,0.20632869005203247
residual,1,11,0.8266462683677673,0.23512880504131317
residual,1,12,0.8491572141647339,0.2547021508216858
residual,1,13,0.8391163349151611,0.27746960520744324
residual,1,14,0.8164512515068054,0.3032478094100952
residual,1,15,0.8061786890029907,0.3167584538459778
residual,1,16,0.8164898753166199,0.33433228731155396
residual,1,17,0.7946301698684692,0.34555643796920776
