step,loss,grad_norm
1,4.1651153564453125,0.2980523761673213
2,4.080783843994141,0.28891383750913424
3,3.994448661804199,0.30568970930258726
4,3.8974742889404297,0.32866134790560786
5,3.809450149536133,0.33089049836791384
6,3.6736598014831543,0.3567541852083531
7,3.5497870445251465,0.33396549442068457
8,3.460592746734619,0.2877522630910173
9,3.3482067584991455,0.2624980817330933
10,3.320221424102783,0.2182007751719228
11,3.315770387649536,0.1815834109958305
12,3.2521376609802246,0.1730503769095387
13,3.22186541557312,0.16983314574064706
14,3.2583255767822266,0.14876078520662886
15,3.1969363689422607,0.14758106412265415
16,3.152953624725342,0.1487352764008212
17,3.2102572917938232,0.15727346541434356
18,3.212294816970825,0.1876435202827773
19,3.1757662296295166,0.19977524873905925
20,3.0929930210113525,0.24626038154694832
21,3.1179940700531006,0.3183127013139612
22,3.1031761169433594,0.5907785367152033
23,3.2133467197418213,0.5826354361104517
24,3.0532617568969727,0.4125065905731936
25,3.096024751663208,0.41947721770677154
26,3.0620975494384766,0.4184383130071574
27,3.0912399291992188,0.4313809227582336
28,3.0417189598083496,0.4425823578782652
29,3.0533251762390137,0.42748820915023505
30,2.9584391117095947,0.4268279229343604
31,3.001258611679077,0.4642324568359081
32,3.0225272178649902,0.5455776479684901
33,3.0288350582122803,0.4995197221278386
34,2.9516799449920654,0.33083335306811557
35,2.924593925476074,0.30039665836913704
36,2.9282209873199463,0.2839989189903527
37,2.8743553161621094,0.2985850482397046
38,2.881498098373413,0.3812074768039947
39,2.8682470321655273,0.4205359808745703
40,2.9590821266174316,0.4285293259754628
41,2.9291603565216064,0.3888698957112347
42,2.9029078483581543,0.35237158465293195
43,2.8918395042419434,0.3564370091052683
44,2.8528265953063965,0.36823635868598925
45,2.874034881591797,0.3683145395914727
46,2.819338321685791,0.3490639717535091
47,2.799177885055542,0.35441433424888613
48,2.7599313259124756,0.38779297849793354
49,2.8095014095306396,0.42635138331331734
50,2.771998643875122,0.4603902296942658
51,2.7804055213928223,0.4404288064305967
52,2.760181427001953,0.40830980363776376
53,2.8171427249908447,0.4098874251369588
54,2.7727439403533936,0.3584233624940844
55,2.7541162967681885,0.3289133791447039
56,2.768158435821533,0.3228642717173252
57,2.776094436645508,0.3056693042450078
58,2.768242835998535,0.3057241464271907
59,2.7720203399658203,0.32540805188324784
60,2.6944832801818848,0.3466447447791773
61,2.749699115753174,0.40375948291074903
62,2.7275044918060303,0.5377969963623078
63,2.7721903324127197,0.4852085902336178
64,2.6971487998962402,0.33082623895442126
65,2.684525966644287,0.30762976903334327
66,2.729597806930542,0.3135940444482029
67,2.678680419921875,0.3127168165346745
68,2.659235715866089,0.3129557577210654
69,2.683777093887329,0.29716140072087904
70,2.6387956142425537,0.28981954860084824
71,2.6704297065734863,0.2926036451241011
72,2.688277244567871,0.29396265182129616
73,2.6633009910583496,0.30682990237490465
74,2.6321420669555664,0.3149463026392023
75,2.7027087211608887,0.3244418189592194
76,2.6389737129211426,0.3429303713869669
77,2.639633893966675,0.32879836941080204
78,2.706669569015503,0.3164789130233657
79,2.7053329944610596,0.28222914162218676
80,2.6913700103759766,0.232325714893807
81,2.637761354446411,0.24984734852447493
82,2.6542816162109375,0.2777875665845352
83,2.6211986541748047,0.29000633045647417
84,2.618445634841919,0.3126830398277893
85,2.602715015411377,0.3336636080366221
86,2.6144168376922607,0.34640019452696086
87,2.6232595443725586,0.3736482390682453
88,2.614407539367676,0.3783812128149661
89,2.6155624389648438,0.3630639634253277
90,2.6030948162078857,0.33846526486302286
91,2.5681302547454834,0.3493820707168608
