step,loss,grad_norm
0,3.7732791900634766,3.9587652843718795
1,3.398271322250366,3.526734055583584
2,3.13175892829895,3.313966336727365
3,2.926213026046753,3.074320968565509
4,2.7574517726898193,2.6680106844728884
5,2.6104817390441895,2.515757654637901
6,2.5097010135650635,2.402792704906457
7,2.426438331604004,2.2955290819429273
8,2.3187389373779297,2.319084428001737
9,2.255401372909546,2.2365537458616527
10,2.171877861022949,2.2214850096882404
11,2.1038732528686523,2.191919888775319
12,2.0463755130767822,2.180721502389734
13,2.008833408355713,2.115989426880265
14,1.9475452899932861,2.113074070770698
15,1.9069275856018066,2.071788915049898
16,1.8556090593338013,2.0600299460281817
17,1.8078216314315796,2.05693058911029
18,1.7724066972732544,2.009828318564016
19,1.7247960567474365,2.004089737973874
20,1.6894710063934326,1.9682145729390343
21,1.6492153406143188,1.934947369892087
22,1.6067944765090942,1.9336566549953969
23,1.5649213790893555,1.9058663823181226
24,1.5350606441497803,1.8759804737693169
25,1.4947948455810547,1.856850885349196
26,1.4635614156723022,1.8259637200602943
27,1.417366862297058,1.8294949533298301
28,1.4054547548294067,1.7673485569882257
29,1.3763132095336914,1.7292396841010869
30,1.3319180011749268,1.7322055654423358
31,1.281976342201233,1.7384194804684059
32,1.26734459400177,1.690698866067666
33,1.2233988046646118,1.678039432306297
34,1.205496907234192,1.6386370118622953
35,1.1660264730453491,1.6244569371423347
36,1.147460699081421,1.5759816343108943
37,1.1162649393081665,1.5585477614037675
38,1.0947721004486084,1.519477335267383
39,1.062347650527954,1.4996422413574648
40,1.0437179803848267,1.462767672627653
41,1.0132901668548584,1.4449454852699413
42,0.988863468170166,1.4158591004215992
43,0.9552748203277588,1.4034807765587485
44,0.9387678503990173,1.355057644613437
45,0.9023606181144714,1.341087568303126
46,0.8737475872039795,1.3280113926894936
47,0.8533510565757751,1.2906724762941952
48,0.8454115986824036,1.2450447523221946
49,0.8054701685905457,1.237892967339565
50,0.7908403873443604,1.1979814843446457
51,0.7647114396095276,1.177087301786011
52,0.740084707736969,1.15474079434176
53,0.7273524403572083,1.1217827496051889
54,0.7075875401496887,1.0888353992363988
55,0.6809162497520447,1.0695144221161947
56,0.6546158194541931,1.0456885760736034
57,0.6288062930107117,1.0277513995118432
58,0.620762825012207,0.9916350641370709
59,0.5925378203392029,0.9780046683951904
60,0.5773563385009766,0.9458962546108461
61,0.5628486275672913,0.9179773574708793
62,0.5328823924064636,0.905926609036658
63,0.5272110104560852,0.8683833492767122
64,0.5116254091262817,0.8441851941083925
65,0.4992203116416931,0.819995171358033
66,0.4786020517349243,0.7997253292695615
67,0.46280163526535034,0.7794217426820784
68,0.44716063141822815,0.7576619782027645
69,0.4372417628765106,0.7347666789919458
70,0.4197320342063904,0.7152977964937491
71,0.4140707552433014,0.6949916292490204
72,0.40060970187187195,0.6736670366361412
73,0.38472095131874084,0.6594461207181189
74,0.37016698718070984,0.6419785012932017
75,0.3582208752632141,0.6216270459384403
76,0.3450159430503845,0.6105171813532165
77,0.3439295291900635,0.5886989485747276
78,0.3281736373901367,0.5794182021731953
79,0.3223142623901367,0.5616586037627266
80,0.3107379674911499,0.5456684101405054
81,0.30046385526657104,0.5340685358250874
82,0.2957834005355835,0.5182382451982659
83,0.2899247705936432,0.5034495607231484
84,0.28180086612701416,0.4925664248537609
85,0.2726540267467499,0.47915618100465945
86,0.26850298047065735,0.4667218973775988
87,0.2614014744758606,0.4557050029335464
88,0.25171196460723877,0.4480271365818442
89,0.23762360215187073,0.43974448729288984
90,0.23778429627418518,0.4259031877370111
91,0.22689993679523468,0.4186116443309877
92,0.2270399034023285,0.4055249641808309
93,0.21991002559661865,0.3979412819828751
94,0.21702523529529572,0.38735804273499186
95,0.20908042788505554,0.38072133507450334
96,0.20850422978401184,0.37124249347227706
97,0.20762254297733307,0.362741393249205
98,0.19413727521896362,0.3586442355389501
99,0.1885991394519806,0.3499062745832573
100,0.1877930462360382,0.34230373288731974
101,0.183196559548378,0.33498300167300316
102,0.18308115005493164,0.32699262291374753
103,0.16951633989810944,0.32441727981346946
104,0.17637793719768524,0.31427948638240605
105,0.1631394475698471,0.3111007683103244
106,0.1667177975177765,0.3024110321763005
107,0.15675269067287445,0.3010093617346831
108,0.1588803231716156,0.2923311492345017
109,0.15348313748836517,0.28717341054117107
110,0.14683984220027924,0.28383673624055605
111,0.14695635437965393,0.27798746550195547
112,0.14668995141983032,0.27119715467063904
113,0.142203226685524,0.26759571367547963
114,0.1368759274482727,0.26398431693498764
115,0.1355256587266922,0.259474440883653
116,0.1366468220949173,0.25218773523148763
117,0.1310255378484726,0.2491028372203568
118,0.12949874997138977,0.2449184347273115
119,0.1245947778224945,0.24168567131692642
120,0.12600572407245636,0.23645487726412912
121,0.12012199312448502,0.23485595611483182
122,0.12066617608070374,0.23013916248475735
123,0.11769357323646545,0.22643027822077055
124,0.11726231127977371,0.22287001471556753
125,0.11269247531890869,0.2196439004934326
126,0.10965466499328613,0.21644388667999
127,0.10964467376470566,0.2136105532331236
128,0.1090121939778328,0.20978206236354374
129,0.10522644221782684,0.20683621164273672
130,0.10478261113166809,0.20444700734864385
131,0.10167582333087921,0.20005708352389545
132,0.1041233241558075,0.19708159308604184
133,0.10051588714122772,0.1947812122897897
134,0.09940113872289658,0.19214448609100807
135,0.10034404695034027,0.18754755885989735
136,0.0951496958732605,0.18730500111372944
137,0.09532907605171204,0.18337234651770465
138,0.09138944745063782,0.182085373403769
139,0.0893481895327568,0.1804533513057413
140,0.09116939455270767,0.1756899974576237
141,0.08694199472665787,0.17596248758846225
142,0.08901438862085342,0.1719145236056876
143,0.08863585442304611,0.1687615394970312
144,0.0856594517827034,0.16771806982011078
145,0.08344101905822754,0.1660044520333116
146,0.08490774780511856,0.1633279449209531
147,0.08405367285013199,0.16121667196446188
148,0.08173158764839172,0.15811837974894258
149,0.07908245176076889,0.15765527290905615
150,0.07680230587720871,0.15539048970633762
151,0.07628146559000015,0.15362941233727107
152,0.07523084431886673,0.15173718646397902
153,0.07537414133548737,0.1504482732819079
154,0.07400038093328476,0.14828583387430916
155,0.07384903728961945,0.14621121555827685
156,0.07291452586650848,0.14489886295527618
157,0.07061991095542908,0.14324753353744926
158,0.07031165808439255,0.14122438179205962
159,0.0678643062710762,0.14034569422171164
160,0.06952221691608429,0.13825860939797846
161,0.06872614473104477,0.13702109293616818
162,0.06556954979896545,0.13578754278506242
163,0.06784678250551224,0.13350579861296855
164,0.06548124551773071,0.13096667995812064
165,0.06590141355991364,0.13021165549752173
166,0.0631190687417984,0.1286933645586232
167,0.0631929263472557,0.1279915535383707
168,0.06138871982693672,0.12672566161990872
169,0.06181519851088524,0.1246475945267082
170,0.06093486770987511,0.12398877723631807
171,0.060615044087171555,0.12143855661359386
172,0.060566119849681854,0.12085111895562915
173,0.05967522785067558,0.11991879285540832
174,0.05752534419298172,0.1192082460425187
175,0.05705207958817482,0.11733449749626326
176,0.057773150503635406,0.11533178096046855
177,0.05591041222214699,0.11494727715619171
178,0.056400369852781296,0.11333831086824782
179,0.0561247356235981,0.11217182268967306
180,0.053989510983228683,0.11165724800590736
181,0.05410081148147583,0.11094917018367674
182,0.05386950820684433,0.10912004704789034
183,0.05320137366652489,0.10795858947544032
184,0.05041798576712608,0.10816260298776173
185,0.052505746483802795,0.10584183254382655
186,0.05196443572640419,0.10507984537866276
187,0.051412418484687805,0.10437641052254751
188,0.050816476345062256,0.1036864451841348
189,0.04843134060502052,0.10221079222635651
190,0.04988862946629524,0.10069000704546421
191,0.04809282347559929,0.1005192058585662
192,0.048570822924375534,0.0987847068173041
193,0.04752388596534729,0.09806533157798925
194,0.0483582466840744,0.09670457104016565
195,0.04728946462273598,0.09669144641977362
196,0.04631178826093674,0.09581089692734017
197,0.045646216720342636,0.09486608756313708
198,0.0463893786072731,0.09297005555703125
199,0.04451799765229225,0.09354971619269715
200,0.045145247131586075,0.09268520027295742
201,0.0442645438015461,0.09169184433011097
202,0.04400111362338066,0.09070201007248098
203,0.04225284606218338,0.09002860989695229
204,0.04284178093075752,0.0887636896192382
205,0.04243001341819763,0.08889074505583162
206,0.04254823550581932,0.08720382838112124
207,0.04241667687892914,0.08629126344386313
208,0.04140998795628548,0.08637799610009719
209,0.04092146083712578,0.0855070981262512
210,0.04029708728194237,0.08471030028521986
211,0.04040159657597542,0.08415236830741915
212,0.04094967618584633,0.08316579698617624
213,0.038884103298187256,0.08282305405964889
214,0.0390898659825325,0.08210587611376516
215,0.037595100700855255,0.08141510655605788
216,0.03881147503852844,0.08012366358249569
